"","member","district","nominate","dwpred","dw.vs.replace","dwvr.rank"
"151","Joseph P. Kennedy III","MA-04",-0.433,-0.367,-0.066,151
"152","Grace F. Napolitano","CA-32",-0.446,-0.378,-0.068,152
"153","Theodore E. Deutch","FL-22",-0.406,-0.335,-0.071,153
"154","Vicente Gonzalez","TX-15",-0.378,-0.306,-0.072,154
"155","Paul Tonko","NY-20",-0.423,-0.351,-0.072,155
"156","Nita M. Lowey","NY-17",-0.388,-0.314,-0.074,156
"157","Michael E. Capuano","MA-07",-0.579,-0.505,-0.074,157
"158","Tim Ryan","OH-13",-0.403,-0.329,-0.074,158
"159","John P. Sarbanes","MD-03",-0.463,-0.388,-0.075,159
"160","Peter J. Visclosky","IN-01",-0.402,-0.325,-0.077,160
"161","Karen Bass","CA-37",-0.572,-0.493,-0.079,161
"162","Rosa L. DeLauro","CT-03",-0.417,-0.335,-0.082,162
"163","Marcia L. Fudge","OH-11",-0.585,-0.503,-0.082,163
"164","Ruben J. Kihuen","NV-04",-0.361,-0.278,-0.083,164
"165","John Lewis","GA-05",-0.589,-0.502,-0.087,165
"166","Kathy Castor","FL-14",-0.435,-0.348,-0.087,166
"167","Nanette Diaz Barragán","CA-44",-0.543,-0.453,-0.09,167
"168","Louise McIntosh Slaughter","NY-25",-0.465,-0.37,-0.095,168
"169","Adriano Espaillat","NY-13",-0.598,-0.501,-0.097,169
"170","Alcee L. Hastings","FL-20",-0.564,-0.466,-0.098,170
"171","Frank Pallone Jr.","NJ-06",-0.4,-0.301,-0.099,171
"172","Mark Pocan","WI-02",-0.552,-0.45,-0.102,172
"173","Daniel T. Kildee","MI-05",-0.409,-0.307,-0.102,173
"174","Emanuel Cleaver","MO-05",-0.452,-0.349,-0.103,174
"175","Mark DeSaulnier","CA-11",-0.536,-0.43,-0.106,175
"176","Judy Chu","CA-27",-0.497,-0.39,-0.107,176
"177","Mark Takano","CA-41",-0.466,-0.351,-0.115,177
"178","Peter A. DeFazio","OR-04",-0.428,-0.312,-0.116,178
"179","Linda T. Sánchez","CA-38",-0.506,-0.382,-0.124,179
"180","Yvette D. Clarke","NY-09",-0.609,-0.483,-0.126,180
"181","Bennie G. Thompson","MS-02",-0.514,-0.378,-0.136,181
"182","Janice D. Schakowsky","IL-09",-0.605,-0.462,-0.143,182
"183","James P. McGovern","MA-02",-0.537,-0.383,-0.154,183
"184","Richard M. Nolan","MN-08",-0.375,-0.201,-0.174,184
"185","Matt Cartwright","PA-17",-0.39,-0.208,-0.182,185
"186","Barbara Lee","CA-13",-0.686,-0.488,-0.198,186
"187","Maxine Waters","CA-43",-0.658,-0.452,-0.206,187
"188","Raúl M. Grijalva","AZ-03",-0.597,-0.382,-0.215,188
"189","Ro Khanna","CA-17",-0.586,-0.364,-0.222,189
"190","Jamie Raskin","MD-08",-0.607,-0.376,-0.231,190
"191","Bonnie Watson Coleman","NJ-12",-0.625,-0.371,-0.254,191
"192","Pramila Jayapal","WA-07",-0.771,-0.5,-0.271,192
