congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,dim1,dim2,log_likelihood,geo_mean_probability,number_of_votes,number_of_errors,conditional,bioname,State,Class,Party,First Name,Last Name,Elected/ Appointed,Birth Year,Gender,Race/ Ethnicity,Religion,Openly LGBTQ,Pre-2016 Incumbent,Last Election D,Last Election R,Clinton 16,Trump 16,Obama 12,Romney 12,Obama 08,McCain 08,White (2010),Black (2010),Latino (2010),Asian and Pacific Islander (2010),Native (2010),Other (2010),Bachelor's Degree or Higher Among Age 25+ (2016),BA Rank  (2016),White BA  (2016),White Rank  (2016),Median Income (Household) (2016),Income Rank  (2016),TRUMP SCORE,TRUMP MARGIN,PREDICTED SCORE,TRUMP PLUS-MINUS,,,,,,,,,
115,Senate,41700,65,0,NV,100,,,"CORTEZ MASTO, Catherine Marie",C001113,1964,,-0.338,0.341,-44.69497,0.84796,271,23,1,"CORTEZ MASTO, Catherine Marie",Nevada,2016,Democratic,Catherine,Cortez Masto,2016,1964,Woman,Hispanic - Mexican,Christian - Roman Catholic,No,Open - Retired,50.3,44.5,47.9,45.5,52.4,45.7,55.1,42.7,58.9,7.5,22.3,8.1,0.9,2.2,23.5,45,27.7,41,"$55,180 ",27,0.34,-2.4,0.49,-15.2,,,,,,,,,
115,Senate,21301,42,0,AR,200,,,"COTTON, Tom",C001095,1977,,0.616,0.138,-10.92281,0.96161,279,4,1,"COTTON, Tom",Arkansas,2014,Republican,Tom,Cotton,2014,1977,Man,White - Non-Hispanic,Christian - Methodist,No,Not Up,39.4,56.5,33.7,60.6,36.9,60.6,38.9,58.7,77.5,14.2,5,1.4,0.7,1.2,22.4,48,24,48,"$44,334 ",48,0.93,26.9,0.90,2.9,,,,,,,,,
115,Senate,29345,63,0,ID,200,,,"CRAPO, Michael Dean",C000880,1951,,0.508,0.277,-10.66709,0.96249,279,4,1,"CRAPO, Michael Dean",Idaho,2016,Republican,Mike,Crapo,1998,1951,Man,White - Non-Hispanic,Christian - Mormon,No,Re-elected,24.9,71.2,27.5,59.2,32.4,64.1,35.9,61.2,86.7,0.5,9,1.4,1.1,1.3,27.6,36,29.4,36,"$51,807 ",36,0.93,31.8,0.92,1.1,,,,,,,,,
115,Senate,41304,49,0,TX,200,,,"CRUZ, Rafael Edward (Ted)",C001098,1970,,0.84,-0.353,-24.05185,0.91537,272,10,1,"CRUZ, Rafael Edward (Ted)",Texas,2012,Republican,Ted,Cruz,2012,1970,Man,Hispanic - Cuban,Christian - Southern Baptist,No,Not Up,40.6,56.5,43.2,52.2,41.4,57.1,43.6,55.4,49.6,11.4,33.6,4,0.3,1.1,28.9,29,37.6,12,"$56,565 ",25,0.93,9,0.72,21.3,,,,,,,,,
115,Senate,21338,64,0,MT,200,,,"DAINES, Steve",D000618,1962,,0.537,-0.07,-19.47474,0.93258,279,8,1,"DAINES, Steve",Montana,2014,Republican,Steve,Daines,2014,1955,Man,White - Non-Hispanic,Christian - Presbyterian,No,Not Up,40.1,57.8,35.4,55.6,41.7,55.3,47.1,49.5,90,0.3,2.3,0.7,5.1,1.6,31,20,31.9,30,"$50,027 ",40,0.93,20.4,0.86,7.1,,,,,,,,,
115,Senate,20717,22,0,IN,100,,,"DONNELLY, Joe",D000607,1955,,-0.119,0.428,-38.12753,0.8701,274,10,1,"DONNELLY, Joe",Indiana,2012,Democratic,Joe,Donnelly,2012,1955,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Not Up,50,44.3,37.5,56.5,43.8,54,49.8,48.8,84,8.3,4.8,1.6,0.2,1,25.6,42,26.8,46,"$52,314 ",35,0.47,19.2,0.85,-37.2,,,,,,,,,
115,Senate,21325,21,0,IL,100,,,"DUCKWORTH, Tammy",D000622,1968,,-0.309,0.079,-45.70123,0.84841,278,22,1,"DUCKWORTH, Tammy",Illinois,2016,Democratic,Tammy,Duckworth,2016,1968,Woman,Asian - Thai,Unknown,No,Defeated,46.4,48,55.3,38.4,57.5,40.7,61.8,36.7,67.1,13.6,13.4,4.7,0.1,1,34,13,37.8,11,"$60,960 ",16,0.25,-17.1,0.28,-3,,,,,,,,,
115,Senate,15021,21,0,IL,100,,,"DURBIN, Richard Joseph",D000563,1944,,-0.362,-0.365,-41.44115,0.8582,271,16,1,"DURBIN, Richard Joseph",Illinois,2014,Democratic,Dick,Durbin,1996,1944,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Not Up,53.5,42.7,55.3,38.4,57.5,40.7,61.8,36.7,67.1,13.6,13.4,4.7,0.1,1,34,13,37.8,11,"$60,960 ",16,0.22,-17.1,0.27,-4.9,,,,,,,,,
115,Senate,49706,68,0,WY,200,,,"ENZI, Michael B.",E000285,1944,,0.538,0.177,-13.6976,0.95209,279,8,1,"ENZI, Michael B.",Wyoming,2014,Republican,Mike,Enzi,1996,1944,Man,White - Non-Hispanic,Christian - Presbyterian,No,Not Up,17.4,72.2,21.9,68.2,27.8,68.6,32.5,64.8,87.9,0.8,7.5,0.9,1.8,1.1,27.1,40,28.5,40,"$59,882 ",19,0.93,46.3,0.93,-0.4,,,,,,,,,
115,Senate,41502,31,0,IA,200,,,"ERNST, Joni",E000295,1970,,0.51,0.008,-11.58547,0.95918,278,6,1,"ERNST, Joni",Iowa,2014,Republican,Joni,Ernst,2014,1970,Woman,White - Non-Hispanic,Christian - Lutheran,No,Not Up,43.8,52.1,41.7,51.1,52,46.2,53.9,44.4,90.9,2.5,3.8,1.8,0.3,0.8,28.4,34,28.8,38,"$56,247 ",26,0.91,9.4,0.72,18.8,,,,,,,,,
115,Senate,49300,71,0,CA,100,,,"FEINSTEIN, Dianne",F000062,1933,,-0.264,-0.166,-22.60544,0.91485,254,8,1,"FEINSTEIN, Dianne",California,2012,Democratic,Dianne,Feinstein,1992,1933,Woman,White - Non-Hispanic,Jewish,No,Not Up,62.5,37.5,61.5,31.5,60.2,37.1,60.9,36.9,44.4,5.9,33.1,14,0.4,2.2,32.9,14,43.1,6,"$67,739 ",9,0.31,-30.1,0.20,10.9,,,,,,,,,
115,Senate,41302,35,0,NE,200,,,"FISCHER, Debra (Deb)",F000463,1951,,0.469,0.302,-15.04744,0.9475,279,7,1,"FISCHER, Debra (Deb)",Nebraska,2012,Republican,Deb,Fischer,2012,1951,Woman,White - Non-Hispanic,Christian - Presbyterian,No,Not Up,42.2,57.8,33.7,58.7,38,59.8,41.6,56.5,85.4,4,7.2,1.8,0.7,1,31.4,19,33.6,26,"$56,927 ",22,0.93,25,0.89,3.9,,,,,,,,,
115,Senate,20100,61,0,AZ,200,,,"FLAKE, Jeff",F000444,1962,,0.855,-0.518,-12.27949,0.95554,270,4,1,"FLAKE, Jeff",Arizona,2012,Republican,Jeff,Flake,2012,1962,Man,White - Non-Hispanic,Christian - Mormon,No,Not Up,46.2,49.2,44.6,48.1,44.4,53.5,44.9,53.4,63.4,3.6,25,3,3.7,1.4,28.9,29,35.3,19,"$53,558 ",31,0.91,3.5,0.61,30.1,,,,,,,,,
115,Senate,40904,33,0,MN,100,,,"FRANKEN, Al",F000457,1951,,-0.396,-0.161,-20.8593,0.92695,275,8,1,"FRANKEN, Al",Minnesota,2014,Democratic,Al,Franken,2008,1951,Man,White - Non-Hispanic,Jewish,No,Not Up,53.1,42.9,46.4,44.9,52.7,45,54.1,43.8,86.1,4.3,3.7,3.7,0.9,1.2,34.8,11,36.4,18,"$65,599 ",13,0.24,-1.5,0.49,-25.3,,,,,,,,,
115,Senate,21112,62,0,CO,200,,,"GARDNER, Cory",G000562,1974,,0.454,-0.004,-16.47431,0.94266,279,7,1,"GARDNER, Cory",Colorado,2014,Republican,Cory,Gardner,2010,1974,Man,White - Non-Hispanic,Christian - Lutheran,No,Not Up,46.3,48.2,48.2,43.3,51.4,46.1,53.7,44.7,73.9,3.6,17.5,2.8,0.6,1.5,39.9,2,46,1,"$65,685 ",12,0.95,-4.9,0.44,50.3,,,,,,,,,
115,Senate,20735,13,0,NY,100,,,"GILLIBRAND, Kirsten",G000555,1966,,-0.375,0.01,-116.55255,0.65853,279,53,1,"GILLIBRAND, Kirsten",New York,2012,Democratic,Kirsten,Gillibrand,2009,1966,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Not Up,72.2,26.3,59,36.5,63.3,35.2,62.9,36,60.4,13.9,16.2,7.5,0.3,1.7,35.7,9,42.1,8,"$62,909 ",14,0.09,-22.5,0.24,-14.9,,,,,,,,,
115,Senate,29566,48,0,SC,200,,,"GRAHAM, Lindsey O.",G000359,1955,,0.409,-0.173,-19.71753,0.92855,266,8,1,"GRAHAM, Lindsey O.",South Carolina,2014,Republican,Lindsey,Graham,2002,1955,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Not Up,38.8,54.3,40.7,54.9,44.1,54.6,44.9,53.9,66.7,26.3,4.3,1.3,0.4,0.9,27.2,38,32,29,"$49,501 ",41,0.89,14.3,0.79,9.9,,,,,,,,,
115,Senate,14226,31,0,IA,200,,,"GRASSLEY, Charles Ernest",G000386,1933,,0.342,-0.071,-16.18851,0.94363,279,7,1,"GRASSLEY, Charles Ernest",Iowa,2016,Republican,Chuck,Grassley,1980,1933,Man,White - Non-Hispanic,Christian - Baptist,No,Re-elected,33.3,64.4,41.7,51.1,52,46.2,53.9,44.4,90.9,2.5,3.8,1.8,0.3,0.8,28.4,34,28.8,38,"$56,247 ",26,0.93,9.4,0.72,20.6,,,,,,,,,
115,Senate,41701,71,0,CA,100,,,"HARRIS, Kamala Devi",H001075,1964,,-0.662,0.11,-23.46291,0.91906,278,10,1,"HARRIS, Kamala Devi",California,2016,Democratic,Kamala,Harris,2016,1964,Woman,Black - Jamaican/Asian - Indian,Christian - Baptist,No,Open - Retired,52.2,42.2,61.5,31.5,60.2,37.1,60.9,36.9,44.4,5.9,33.1,14,0.4,2.2,32.9,14,43.1,6,"$67,739 ",9,0.16,-30.1,0.20,-3.6,,,,,,,,,
115,Senate,41702,4,0,NH,100,,,"HASSAN, Margaret (Maggie)",H001076,1958,,-0.288,-0.201,-22.46005,0.92265,279,10,1,"HASSAN, Margaret (Maggie)",New Hampshire,2016,Democratic,Maggie,Hassan,2016,1958,Woman,White - Non-Hispanic,Christian - United Church of Christ,No,Defeated,36.8,60,46.8,46.5,52,46.4,54.1,44.5,93.6,0.9,2.2,2,0.2,1,36.6,7,36.5,16,"$70,936 ",7,0.32,-0.4,0.53,-21.1,,,,,,,,,
115,Senate,14503,67,0,UT,200,,,"HATCH, Orrin Grant",H000338,1934,,0.382,-0.006,-11.22817,0.96055,279,6,1,"HATCH, Orrin Grant",Utah,2012,Republican,Orrin,Hatch,1976,1934,Man,White - Non-Hispanic,Christian - Mormon,No,Not Up,30,65.3,27.2,45.1,24.7,72.5,34.2,62.2,82.6,0.9,11.3,3,1,1.2,32.6,17,35.3,19,"$65,977 ",11,0.96,18.1,0.84,12.8,,,,,,,,,
115,Senate,20930,66,0,NM,100,,,"HEINRICH, Martin",H001046,1971,,-0.29,-0.027,-40.99774,0.8615,275,19,1,"HEINRICH, Martin",New Mexico,2012,Democratic,Martin,Heinrich,2012,1971,Man,White - Non-Hispanic,Christian - Lutheran,No,Not Up,51,45.3,48.3,40,53,42.8,56.9,41.8,45.3,1.8,42.3,1.4,7.9,1.3,27.2,38,40.2,10,"$46,748 ",44,0.25,-8.2,0.39,-13.7,,,,,,,,,
115,Senate,41303,36,0,ND,100,,,"HEITKAMP, Mary Kathryn (Heidi)",H001069,1955,,-0.126,0.39,-40.10152,0.86567,278,15,1,"HEITKAMP, Mary Kathryn (Heidi)",North Dakota,2012,Democratic,Heidi,Heitkamp,2012,1955,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Not Up,50.2,49.3,27.2,63,38.7,58.3,44.5,53.2,91,1,1.5,1.1,4.4,1,29.6,26,31,31,"$60,656 ",17,0.50,35.7,0.93,-42.5,,,,,,,,,
115,Senate,20730,65,0,NV,200,,,"HELLER, Dean",H001041,1960,,0.464,-0.476,-58.09299,0.80577,269,25,1,"HELLER, Dean",Nevada,2012,Republican,Dean,Heller,2011,1960,Man,White - Non-Hispanic,Christian - Mormon,No,Not Up,44.7,45.9,47.9,45.5,52.4,45.7,55.1,42.7,58.9,7.5,22.3,8.1,0.9,2.2,23.5,45,27.7,41,"$55,180 ",27,0.91,-2.4,0.49,42,,,,,,,,,
115,Senate,20713,82,0,HI,100,,,"HIRONO, Mazie",H001042,1947,,-0.49,-0.083,-34.13218,0.88247,273,15,1,"HIRONO, Mazie",Hawaii,2012,Democratic,Mazie,Hirono,2012,1947,Woman,Asian - Japanese,Buddhist - Jodo Shinshu,No,Not Up,62.6,37.4,62.2,30,70.5,27.8,71.8,26.6,25.5,1.5,7.2,49.7,0.2,15.9,31.9,18,44.8,3,"$74,511 ",5,0.25,-32.2,0.19,6.2,,,,,,,,,
115,Senate,41107,36,0,ND,200,,,"HOEVEN, John",H001061,1957,,0.34,0.33,-7.46625,0.97331,276,2,1,"HOEVEN, John",North Dakota,2016,Republican,John,Hoeven,2010,1957,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,22.2,76.1,27.2,63,38.7,58.3,44.5,53.2,91,1,1.5,1.1,4.4,1,29.6,26,31,31,"$60,656 ",17,0.96,35.7,0.93,3.9,,,,,,,,,
115,Senate,15424,53,0,OK,200,,,"INHOFE, James Mountain",I000024,1934,,0.552,0.039,-9.81868,0.9653,278,4,1,"INHOFE, James Mountain",Oklahoma,2014,Republican,Jim,Inhofe,1994,1934,Man,White - Non-Hispanic,Christian - Presbyterian,No,Not Up,28.5,68,28.9,65.3,33.2,66.8,34.4,65.6,72.8,6.9,7.1,1.8,7.4,4,25.2,43,27.5,42,"$49,176 ",42,0.95,36.4,0.93,2,,,,,,,,,
115,Senate,29909,44,0,GA,200,,,"ISAKSON, Johnny",I000055,1944,,0.403,-0.016,-5.84923,0.9751,232,2,1,"ISAKSON, Johnny",Georgia,2016,Republican,Johnny,Isakson,2004,1944,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,39,58.3,45.3,50.4,45.4,53.2,46.9,52.1,59,28.8,7.5,3.3,0.2,1.2,30.5,23,33.9,24,"$53,559 ",30,0.95,5.2,0.63,31.9,,,,,,,,,
115,Senate,41111,25,0,WI,200,,,"JOHNSON, Ron",J000293,1955,,0.597,-0.316,-10.22838,0.96388,278,4,1,"JOHNSON, Ron",Wisconsin,2016,Republican,Ron,Johnson,2010,1955,Man,White - Non-Hispanic,Christian - Lutheran,No,Re-elected,47,51.9,46.5,47.2,52.8,45.9,56.2,42.3,86.3,5.4,4.6,2,0.8,0.9,29.5,28,30.8,33,"$56,811 ",24,0.93,0.8,0.56,37.3,,,,,,,,,
115,Senate,41305,40,0,VA,100,,,"KAINE, Timothy Michael (Tim)",K000384,1958,,-0.232,-0.108,-34.16556,0.88357,276,13,1,"KAINE, Timothy Michael (Tim)",Virginia,2012,Democratic,Tim,Kaine,2012,1958,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Not Up,52.9,47,49.8,44.4,51.2,47.3,52.6,46.3,67.2,18.5,6.9,5.5,0.3,1.6,38.1,6,41.6,9,"$68,114 ",8,0.34,-5.3,0.44,-9.6,,,,,,,,,
115,Senate,41703,45,0,LA,200,,,"KENNEDY, John Neely",K000393,1951,,0.425,0.608,-26.81096,0.90838,279,12,1,"KENNEDY, John Neely",Louisiana,2016,Republican,John,Kennedy,2016,1951,Man,White - Non-Hispanic,Christian - Methodist,No,Open - Retired,37.7,56.6,38.4,58.1,40.6,57.8,39.9,58.6,62.9,29.9,4,1.6,0.6,1,23.4,46,27.5,42,"$45,146 ",47,0.93,19.6,0.85,7.8,,,,,,,,,
115,Senate,41300,2,0,ME,328,,,"KING, Angus Stanley, Jr.",K000383,1944,,-0.152,-0.241,-49.73799,0.83671,279,29,1,"KING, Angus Stanley, Jr.",Maine,2012,Independent - Dem Caucus,Angus,King,2012,1944,Man,White - Non-Hispanic,Christian - Episcopalian,No,Not Up,52.9,30.7,47.8,44.9,56.3,41,57.7,40.4,95.6,0.9,1,1,0.6,1.1,30.1,25,30.3,34,"$53,079 ",32,0.45,-3,0.48,-3.4,,,,,,,,,
115,Senate,40700,33,0,MN,100,,,"KLOBUCHAR, Amy",K000367,1960,,-0.242,-0.166,-22.00121,0.92417,279,5,1,"KLOBUCHAR, Amy",Minnesota,2012,Democratic,Amy,Klobuchar,2006,1960,Woman,White - Non-Hispanic,Christian - Congregationalist,No,Not Up,65.2,30.5,46.4,44.9,52.7,45,54.1,43.8,86.1,4.3,3.7,3.7,0.9,1.2,34.8,11,36.4,18,"$65,599 ",13,0.30,-1.5,0.51,-20.5,,,,,,,,,
